timestamp,city,temperature,humidity,pressure,weather,wind_speed,season
2024-10-14 13:50:13.485252,Dharmapuri,27.01,89,1009,overcast clouds,1.05,Post-monsoon
2024-10-14 13:50:13.797197,Dindigul,22.49,96,1009,overcast clouds,2.36,Post-monsoon
2024-10-14 13:50:14.146942,Erode,23.95,90,1009,overcast clouds,1.87,Post-monsoon
2024-10-14 13:50:15.092738,Karur,23.93,89,1009,overcast clouds,2.96,Post-monsoon
2024-10-14 13:50:15.406928,Krishnagiri,24.24,78,1009,overcast clouds,2.97,Post-monsoon
2024-10-14 13:50:15.708682,Madurai,29.01,84,1008,moderate rain,1.54,Post-monsoon
2024-10-14 13:50:16.035002,Nagapattinam,24.81,90,1008,moderate rain,3.6,Post-monsoon
2024-10-14 13:50:16.817802,Namakkal,23.29,92,1009,overcast clouds,2.31,Post-monsoon
2024-10-14 13:50:17.146844,Perambalur,23.63,93,1008,moderate rain,2.24,Post-monsoon
2024-10-14 13:50:17.485742,Pudukkottai,28.92,94,1008,heavy intensity rain,3.41,Post-monsoon
2024-10-14 13:50:17.804380,Ramanathapuram,24.11,94,1008,moderate rain,2.94,Post-monsoon
2024-10-14 13:50:18.454466,Salem,28.11,94,1009,broken clouds,1.54,Post-monsoon
2024-10-14 13:50:18.845917,Sivaganga,29.23,91,1008,heavy intensity rain,3.98,Post-monsoon
2024-10-14 13:50:19.165553,Tenkasi,24.55,88,1009,light rain,1.77,Post-monsoon
2024-10-14 13:50:19.474613,Thanjavur,29.31,93,1008,heavy intensity rain,2.46,Post-monsoon
2024-10-14 13:50:20.568866,Theni,23.32,96,1009,overcast clouds,1.32,Post-monsoon
2024-10-14 13:50:22.655153,Thiruvarur,24.27,92,1008,moderate rain,2.96,Post-monsoon
2024-10-14 13:50:23.871815,Vellore,27.13,75,1008,overcast clouds,5.2,Post-monsoon
2024-10-14 13:50:24.172167,Villupuram,27.97,80,1007,overcast clouds,2.95,Post-monsoon
2024-10-14 13:50:24.474749,Virudhunagar,29.23,94,1008,very heavy rain,1.64,Post-monsoon
2024-10-14 13:50:24.794329,Hyderabad,30.23,58,1009,scattered clouds,3.6,Post-monsoon
2024-10-14 13:50:25.099650,Karimnagar,30.68,62,1009,overcast clouds,1.93,Post-monsoon
2024-10-14 13:50:25.409293,Khammam,29.39,74,1008,overcast clouds,1.35,Post-monsoon
2024-10-14 13:50:25.710376,Mahbubnagar,29.51,58,1009,broken clouds,4.73,Post-monsoon
2024-10-14 13:50:26.031325,Medak,29.51,63,1009,overcast clouds,1.71,Post-monsoon
2024-10-14 13:50:26.333118,Nalgonda,29.39,68,1009,overcast clouds,2.66,Post-monsoon
2024-10-14 13:50:26.659942,Nizamabad,30.27,63,1009,overcast clouds,1.48,Post-monsoon
2024-10-14 13:50:27.308933,Warangal,30.91,63,1008,overcast clouds,2.26,Post-monsoon
